code;libelle
ALB;ALBANAIS
AMH;AMHARIQUE
ENG;ANGLAIS
ARA;ARABE
ARAM;ARABE MAGHREBIN
ARC;ARAMEEN
ARM;ARMENIEN
AZE;AZERI
BAM;BAMBARA
BEL;BELARUSSIEN
BEN;BENGALI
BER;BERBERES
BUR;BIRMAN
BUL;BULGARE
CAM;CAMBODGIEN
CHAK;CHAKMA
CHI;CHINOIS (MANDARIN, CANTONAIS)
COM;COMORIEN
KOR;COREEN
CPP;CREOLE DE GUINEE BISSAU
CPF;CREOLE HAITIEN
PRS;DARI
DIA;DIAKHANKE
DIO;DIOLA
DYU;DYULA
SPA;ESPAGNOL
FOUR;FOUR
FRE;FRANCAIS
GEO;GEORGIEN
GOR;GORANE
GUJ;GUJARATI
HASS;HASSANYA
HIN;HINDI
HMN;HMONG
IND;INDONESIEN
KAB;KABYLE
KAZ;KAZAKH
KSK;KHASSONKE
KON;KIKONGO
KIN;KINYARWANDA
RUN;KIRUNDI
KURB;KURDE BAHDINI
KURK;KURDE KURMANJDI
KURS;KURDE SORANI
KURZ;KURDE ZAZA
SIGN;LANGUE DES SIGNES
LAO;LAO
LAR;LARI
LIN;LINGALA
MAC;MACEDONIEN
MAY;MALAIS
MLA;MALGACHE
MLK;MALINKE
MAN;MANDE
MAJ;MANJAQUE
MASS;MASSALITE
MOL;MOLDAVE
MON;MONGOL
NEP;NEPALAIS
OSS;OSSETE
UIG;OUIGOUR
UZB;OUZBEK
PUS;PACHTO
PAN;PANJABI
PER;PERSAN
FUL;PEUL
FULG;PEUL GUINEEN
POR;PORTUGAIS
RUM;ROUMAIN
RROM;RROMANI
RUS;RUSSE
SCC;SERBO-CROATE
SNH;SINGALAIS
SOM;SOMALI
SOK;SONINKE
SUS;SOUSSOU
SWA;SWAHILI
TAG;TAGALOG
TAM;TAMOUL
CHE;TCHETCHENE
THA;THAI
TIB;TIBETAIN
TIR;TIGRIGNA
LUB;TSHILUBA
TUR;TURC
UKR;UKRAINIEN
URD;URDU
VIE;VIETNAMIEN
WZH;WENZHOU
WOL;WOLOF
ZAGH;ZAGHAWA
