code;libelle
ZZZ;indéterminée
AFG;afghane
ALB;albanaise
DZA;algérienne
AGO;angolaise
ARG;argentine
ARM;arménienne
AUS;australienne
AUT;autrichienne
AZE;azerbaïdjanaise
BHS;bahamienne
BGD;bangladaise
BLR;biélorusse
BEL;belge
BLZ;bélizienne
BEN;béninoise
BTN;bhoutanaise
BOL;bolivienne
BIH;bosnienne
BWA;bostwanaise
BRA;brésilienne
BRN;brunéienne
BGR;bulgare
BFA;burkinabée
BDI;burundaise
CIV;ivoirienne
KHM;cambodgienne
CMR;camerounaise
CAN;canadienne
CPV;capverdienne
CAF;centrafricaine
TCD;tchadienne
CHL;chilienne
CHN;chinoise
COL;colombienne
COG;congolaise (brazza)
COM;comorienne
CRI;costaricaine
HRV;croate
CUB;cubaine
CYP;chypriote
CZE;tchèque
COD;congolaise (rdc)
PRK;coréenne (nord)
DNK;danoise
DJI;djiboutienne
DOM;dominicaine (rep.dominic.)
ECU;équatorienne
EGY;égyptienne
SLV;salvadorienne
GNQ;guinéenne (g. équatoriale)
ERI;érythréenne
EST;estonienne
ETH;éthiopienne
FLK;Iles falkland
FJI;fidjienne
FIN;finlandaise
FRA;française
GAB;gabonaise
GMB;gambienne
GEO;géorgienne
DEU;allemande
GHA;ghanéenne
GRC;grecque
GTM;guatémaltèque
GIN;guinéenne (rép. de guinée)
GNB;guinéenne (guinée-bissau)
GUY;guyanienne
HTI;haitienne
HND;hondurienne
HUN;hongroise
ISL;islandaise
IND;indienne
IDN;indonésienne
IRN;iranienne
IRQ;irakienne
IRL;irlandaise
ISR;israélienne
ITA;italienne
JAM;jamaicaine
JPN;japonaise
JOR;jordanienne
KAZ;kazakhe
KEN;kenyane
KOR;coréenne (sud)
KWT;koweitienne
KGZ;kirghize
LAO;laotienne
LVA;lettone
LBN;libanaise
LSO;Lesotho
LBR;libérienne
LBY;libyenne
LTU;lithuanienne
LUX;luxembourgeoise
MKD;macédonienne
MDG;malgache
MWI;malawienne
MYS;malaisienne
MLI;malienne
MUS;mauricienne
MRT;mauritanienne
MEX;mexicaine
MDA;moldave
MNG;mongole
MNE;monténégrine
MAR;marocaine
MOZ;mozambicaine
MMR;birmane
NAM;namibienne
NPL;népalaise
NLD;néerlandaise
NZL;néo-zélandaise
NIC;nicaraguayenne
NER;nigérienne
NGA;nigériane
NOR;norvégienne
OMN;omanaise
PAK;pakistanaise
PSE;palestinienne
PAN;panaméenne
PNG;néo-guinéenne
PRY;paraguayenne
PER;péruvienne
PHL;philippine
POL;polonaise
PRT;portugaise
PRI;portoricaine
QAT;qatarie
ROU;roumaine
RUS;russe
RWA;rwandaise
SDN;soudanaise
SSD;sud soudanaise
SAU;saoudienne
SEN;sénégalaise
SRB;serbe
SLE;sierra-leonaise
SVK;slovaque
SVN;slovène
SLB;salomonaise
SOM;somalienne
ZAF;sud-africaine
ESP;espagnole
LKA;sri lankaise
SUR;surinamienne
SWZ;swazie
SWE;suèdoise
CHE;suisse
SYR;syrienne
TWN;taiwanaise
TJK;tadjike
TZA;tanzanienne
THA;thailandaise
TLS;timoraise
TGO;togolaise
TTO;trinidadienne
TUN;tunisienne
TUR;turque
TKM;turkmène
UGA;ougandaise
UKR;ukrainienne
ARE;émiratie
GBR;britannique
USA;américaine
URY;uruguayenne
UZB;ouzbèke
VUT;vanuatuane
VEN;vénézuélienne
VNM;vietnamienne
YEM;yéménite
ZMB;zambienne
ZWE;zimbabwéenne
APA;apatride
NCL;
-99;
ATA;
ATF;
GRL;
RKS;kosovare
